"dataset" "learner" "memory_limit"
"401" "cylinder.bands.6332" "classif.RcppHNSW" 345344.4
"402" "cylinder.bands.6332" "classif.glmnet" 371521.68
"403" "cylinder.bands.6332" "classif.kerasff" 1085293.2
"404" "cylinder.bands.6332" "classif.ranger.pow" 444602.4
"405" "cylinder.bands.6332" "classif.rpart" 361640.4
"406" "cylinder.bands.6332" "classif.svm" 381573.6
"407" "cylinder.bands.6332" "classif.svm.radial" 381000
"408" "cylinder.bands.6332" "classif.xgboost.dart" 411261.6
"409" "cylinder.bands.6332" "classif.xgboost.gblinear" 396149.76
"410" "cylinder.bands.6332" "classif.xgboost.gbtree" 410429.28
"411" "diabetes.37" "classif.RcppHNSW" 332627.4
"412" "diabetes.37" "classif.glmnet" 355540.68
"413" "diabetes.37" "classif.kerasff" 1067715.6
"414" "diabetes.37" "classif.ranger.pow" 489829.92
"415" "diabetes.37" "classif.rpart" 353904
"416" "diabetes.37" "classif.svm" 356170.08
"417" "diabetes.37" "classif.svm.radial" 356341.2
"418" "diabetes.37" "classif.xgboost.dart" 398356.56
"419" "diabetes.37" "classif.xgboost.gblinear" 387716.4
"420" "diabetes.37" "classif.xgboost.gbtree" 397921.8
"421" "diabetes130US.4541" "classif.RcppHNSW" 1715172.96
"422" "diabetes130US.4541" "classif.glmnet" 2581413.6
"423" "diabetes130US.4541" "classif.kerasff" 5430992.4
"424" "diabetes130US.4541" "classif.ranger.pow" 8592043.32
"425" "diabetes130US.4541" "classif.rpart" 1142974.56
"426" "diabetes130US.4541" "classif.svm" 1870142.64
"427" "diabetes130US.4541" "classif.svm.radial" 1869915.6
"428" "diabetes130US.4541" "classif.xgboost.dart" 3140586
"429" "diabetes130US.4541" "classif.xgboost.gblinear" 2525305.32
"430" "diabetes130US.4541" "classif.xgboost.gbtree" 2621838
"431" "dna.40670" "classif.RcppHNSW" 432188.4
"432" "dna.40670" "classif.glmnet" 500232.48
"433" "dna.40670" "classif.kerasff" 1085780.88
"434" "dna.40670" "classif.ranger.pow" 647637.36
"435" "dna.40670" "classif.rpart" 464941.2
"436" "dna.40670" "classif.svm" 612314.64
"437" "dna.40670" "classif.svm.radial" 623891.52
"438" "dna.40670" "classif.xgboost.dart" 547963.68
"439" "dna.40670" "classif.xgboost.gblinear" 531740.52
"440" "dna.40670" "classif.xgboost.gbtree" 548189.52
"441" "dresses.sales.23381" "classif.RcppHNSW" 339027.6
"442" "dresses.sales.23381" "classif.glmnet" 363241.2
